room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
18628,71597,Entire home/apt,Centro,Justicia,23,4.5,2,0.0,72.0,5.0,40.424715,-3.698638,2015-02-21 04:31:03.022
19864,74966,Entire home/apt,Centro,Palacio,13,5.0,2,,88.0,14.0,40.414879,-3.708782,2015-02-21 03:41:31.881
21512,82175,Entire home/apt,Moncloa,Argüelles,9,4.0,2,1.0,66.0,2.0,40.42492,-3.713446,2015-02-21 00:52:01.135
21546,82175,Entire home/apt,Ciudad Lineal,San Pascual,4,3.5,3,2.0,62.0,7.0,40.440557,-3.654823,2015-02-21 01:32:25.420
21548,82175,Entire home/apt,Moncloa,Casa de Campo,0,,4,1.0,81.0,1.0,40.431027,-3.724586,2015-02-21 01:35:19.022
22736,82175,Entire home/apt,Chamberi,Rios Rosas,0,,4,0.0,66.0,,40.441415,-3.695927,2015-02-21 04:45:53.900
23021,82175,Entire home/apt,Moncloa,Argüelles,17,4.0,10,4.0,131.0,2.0,40.423417,-3.712456,2015-02-21 05:20:21.059
24805,101471,Entire home/apt,Centro,Universidad,1,5.0,3,1.0,73.0,5.0,40.422022,-3.703954,2015-02-21 05:10:12.159
24836,101653,Entire home/apt,Centro,Justicia,13,5.0,4,1.0,146.0,4.0,40.419989,-3.697614,2015-02-21 00:47:24.787
26571,112866,Private room,Fuencarral,Peñagrande,0,,1,1.0,50.0,3.0,40.482185,-3.725684,2015-02-21 04:39:37.827
26816,114340,Entire home/apt,Arganzuela,Legazpi,7,5.0,3,2.0,183.0,3.0,40.391665,-3.688685,2015-02-21 04:26:22.005
26823,114340,Private room,Arganzuela,Legazpi,10,4.0,2,1.0,73.0,2.0,40.391161,-3.688234,2015-02-21 04:34:15.224
26825,114340,Private room,Arganzuela,Legazpi,25,4.5,1,1.0,29.0,2.0,40.389877,-3.688883,2015-02-21 04:37:37.833
30320,130907,Entire home/apt,Centro,Sol,64,4.5,2,1.0,83.0,1.0,40.415525,-3.703459,2015-02-21 02:57:09.849
30354,7538904,Private room,Salamanca,Guindalera,6,5.0,1,1.0,44.0,4.0,40.437893,-3.666563,2015-02-21 03:35:39.585
30924,132736,Private room,San Blas,Rejas,57,5.0,2,1.0,51.0,1.0,40.445084,-3.591501,2015-02-21 04:41:17.850
33029,143120,Private room,Tetuan,Almenara,0,,1,1.0,64.0,1.0,40.467806,-3.695708,2015-02-21 00:48:49.504
34801,84759,Private room,Tetuan,Bellas Vistas,4,4.0,4,1.0,58.0,1.0,40.45253,-3.707486,2015-02-21 05:25:56.658
35146,141962,Entire home/apt,Chamberi,Trafalgar,8,5.0,5,2.0,132.0,3.0,40.434378,-3.700976,2015-02-21 02:10:05.821
36583,157422,Private room,Salamanca,Lista,0,,1,1.0,210.0,1.0,40.429677,-3.670971,2015-02-21 05:12:48.215
38547,165406,Entire home/apt,Centro,Justicia,92,4.5,4,2.0,103.0,2.0,40.42316,-3.698763,2015-02-21 03:36:28.066
37716,162299,Private room,Centro,Embajadores,0,,1,1.0,202.0,1.0,40.408207,-3.702462,2015-02-21 02:22:25.202
40718,175752,Entire home/apt,Centro,Justicia,40,4.5,3,1.0,76.0,3.0,40.419778,-3.697299,2015-02-21 01:00:14.893
40916,130907,Entire home/apt,Centro,Universidad,13,4.5,3,1.0,124.0,1.0,40.420961,-3.70428,2015-02-21 04:50:15.741
42526,185715,Entire home/apt,Centro,Universidad,25,5.0,6,3.0,256.0,3.0,40.426124,-3.70673,2015-02-21 01:18:50.502
42724,84759,Private room,Tetuan,Bellas Vistas,20,4.5,2,1.0,51.0,1.0,40.450228,-3.70753,2015-02-21 05:09:15.672
45807,82175,Entire home/apt,Arganzuela,Acacias,4,5.0,4,1.0,88.0,1.0,40.400826,-3.707061,2015-02-21 05:23:23.922
54790,165406,Entire home/apt,Centro,Embajadores,90,4.0,4,2.0,66.0,2.0,40.411907,-3.702294,2015-02-21 00:50:27.098
54799,165406,Entire home/apt,Centro,Embajadores,74,4.5,7,2.0,95.0,2.0,40.413438,-3.706779,2015-02-21 01:01:35.087
55083,165406,Entire home/apt,Centro,Universidad,53,4.0,4,1.0,95.0,2.0,40.422827,-3.70267,2015-02-21 01:34:32.841
57660,82175,Entire home/apt,Moncloa,Argüelles,4,4.5,5,1.0,95.0,1.0,40.430334,-3.717796,2015-02-21 01:53:58.879
59923,288380,Private room,Centro,Palacio,3,5.0,1,1.0,51.0,1.0,40.419711,-3.712556,2015-02-21 01:06:46.360
62423,303845,Entire home/apt,Centro,Justicia,0,,2,1.0,124.0,4.0,40.4208,-3.698775,2015-02-21 04:54:18.326
64074,310331,Private room,Chamartin,Hispanoamérica,0,,1,1.0,51.0,1.0,40.457638,-3.672345,2015-02-21 02:10:47.426
64131,313365,Private room,Fuencarral,Peñagrande,1,5.0,2,1.0,29.0,2.0,40.484092,-3.722569,2015-02-21 03:19:10.073
69496,348404,Entire home/apt,Centro,Embajadores,53,4.5,4,2.0,81.0,3.0,40.411354,-3.705743,2015-02-21 03:05:48.477
70059,353616,Entire home/apt,Centro,Universidad,12,4.5,2,1.0,83.0,3.0,40.423645,-3.708894,2015-02-21 04:03:28.441
70310,353738,Entire home/apt,Centro,Universidad,3,4.5,4,1.0,86.0,3.0,40.423214,-3.701428,2015-02-21 03:57:03.897
70311,353738,Entire home/apt,Centro,Universidad,6,4.0,6,2.0,103.0,3.0,40.420742,-3.703682,2015-02-21 03:57:59.252
70312,353738,Entire home/apt,Centro,Universidad,17,4.0,4,1.0,73.0,3.0,40.421047,-3.703294,2015-02-21 03:59:28.932
70313,353738,Entire home/apt,Centro,Universidad,16,4.0,4,1.0,73.0,3.0,40.420378,-3.703704,2015-02-21 04:00:54.392
70314,353738,Entire home/apt,Centro,Universidad,3,4.5,5,1.0,88.0,3.0,40.420817,-3.703718,2015-02-21 04:02:15.837
70315,353738,Entire home/apt,Centro,Palacio,2,3.5,4,2.0,89.0,3.0,40.421377,-3.711006,2015-02-21 04:03:30.067
70316,353738,Entire home/apt,Centro,Palacio,0,,6,1.0,95.0,3.0,40.421107,-3.710104,2015-02-21 04:04:48.573
70364,165406,Entire home/apt,Centro,Cortes,77,4.5,4,2.0,110.0,2.0,40.411749,-3.697079,2015-02-21 04:59:19.798
71791,368907,Entire home/apt,Chamberi,Arapiles,1,5.0,6,3.0,195.0,3.0,40.433592,-3.706873,2015-02-21 02:55:50.944
72150,364585,Entire home/apt,Centro,Embajadores,10,4.5,9,3.0,110.0,2.0,40.411192,-3.704699,2015-02-21 04:51:58.317
72937,378073,Entire home/apt,Centro,Sol,0,,4,1.0,146.0,3.0,40.415066,-3.703358,2015-02-21 05:15:05.995
72950,378073,Entire home/apt,Centro,Sol,5,4.0,4,1.0,139.0,3.0,40.416374,-3.703055,2015-02-21 05:31:43.843
72955,378073,Entire home/apt,Centro,Cortes,1,5.0,4,1.0,131.0,3.0,40.411387,-3.694085,2015-02-21 05:37:49.241
72970,379622,Entire home/apt,Centro,Palacio,5,4.5,6,3.0,190.0,14.0,40.416491,-3.711016,2015-02-21 00:54:20.924
74160,165406,Entire home/apt,Salamanca,Goya,49,4.0,6,2.0,101.0,2.0,40.425123,-3.679448,2015-02-21 04:09:06.830
75609,401552,Entire home/apt,Centro,Embajadores,13,5.0,3,1.0,82.0,3.0,40.407433,-3.697194,2015-02-21 02:28:14.130
