date,ipi
2017M11,104.156
2017M10,100.221
2017M09,99.379
2017M08,91.97
2017M07,92.591
2017M06,103.302
2017M05,101.487
2017M04,93.418
2017M03,109.28
2017M02,94.995
2017M01,90.437
2016M12,81.731
2016M11,96.115
2016M10,91.3
2016M09,93.542
2016M08,83.259
2016M07,83.916
2016M06,95.689
2016M05,96.271
2016M04,100.567
2016M03,97.028
2016M02,90.913
2016M01,76.931
2015M12,77.685
2015M11,89.166
2015M10,96.067
2015M09,97.086
2015M08,79.393
2015M07,94.51
2015M06,98.494
2015M05,93.021
2015M04,95.185
2015M03,103.877
2015M02,86.193
2015M01,88.375
2014M12,82.636
2014M11,95.712
2014M10,98.678
2014M09,94.368
2014M08,78.743
2014M07,92.095
2014M06,95.183
2014M05,100.262
2014M04,95.498
2014M03,100.145
2014M02,92.597
2014M01,91.825
2013M12,82.117
2013M11,91.809
2013M10,100.587
2013M09,94.567
2013M08,80.545
2013M07,91.486
2013M06,98.76
2013M05,100.951
2013M04,105.016
2013M03,98.075
2013M02,94.493
2013M01,96.314
2012M12,85.386
2012M11,95.434
2012M10,100.262
2012M09,94.655
2012M08,86.629
2012M07,97.287
2012M06,103.797
2012M05,111.632
2012M04,97.589
2012M03,112.895
2012M02,97.715
2012M01,94.491
2011M12,89.004
2011M11,103.505
2011M10,103.472
2011M09,108.369
2011M08,86.334
2011M07,97.948
2011M06,103.478
2011M05,107.642
2011M04,104.317
2011M03,113.213
2011M02,102.74
2011M01,97.622
2010M12,98.912
2010M11,115.765
2010M10,109.129
2010M09,101.44
2010M08,75.421
2010M07,101.545
2010M06,105.758
2010M05,101.861
2010M04,100.597
2010M03,107.654
2010M02,91.433
2010M01,90.485
2009M12,86.798
2009M11,103.441
2009M10,106.917
2009M09,98.279
2009M08,70.154
2009M07,95.33
2009M06,91.011
2009M05,91.011
2009M04,87.219
2009M03,96.699
2009M02,94.277
2009M01,92.17
2008M12,83.006
2008M11,106.706
2008M10,115.871
2008M09,106.285
2008M08,77.107
2008M07,115.028
2008M06,111.236
2008M05,116.924
2008M04,122.402
2008M03,112.921
2008M02,115.344
2008M01,110.288
2007M12,94.382
2007M11,121.664
2007M10,129.038
2007M09,113.659
2007M08,88.167
2007M07,116.819
2007M06,121.243
2007M05,125.246
2007M04,111.763
2007M03,129.67
2007M02,117.662
2007M01,117.556
2006M12,98.596
2006M11,119.979
2006M10,121.559
2006M09,112.079
2006M08,84.059
2006M07,105.442
2006M06,119.663
2006M05,123.666
2006M04,104.81
2006M03,125.246
2006M02,109.024
2006M01,109.551
2005M12,95.119
2005M11,119.452
2005M10,109.34
2005M09,111.025
2005M08,76.685
2005M07,107.865
2005M06,116.503
2005M05,113.343
2005M04,109.024
2005M03,109.445
2005M02,102.388
2005M01,94.066
2004M12,96.489
2004M11,116.608
2004M10,108.497
2004M09,107.128
2004M08,71.945
2004M07,104.284
2004M06,109.129
2004M05,109.867
2004M04,105.653
2004M03,110.183
2004M02,97.331
2004M01,91.222
2003M12,89.01
2003M11,103.757
2003M10,112.711
2003M09,99.754
2003M08,58.567
2003M07,101.44
2003M06,99.86
2003M05,103.546
2003M04,101.124
2003M03,106.496
2003M02,96.173
2003M01,94.382
2002M12,85.218
2002M11,111.447
2002M10,111.763
2002M09,101.44
2002M08,66.257
2002M07,100.913
2002M06,98.279
2002M05,107.022
2002M04,102.704
2002M03,92.065
2002M02,98.806
2002M01,90.169
