pagina,opinion,estrellas
1,"no se el libro no es para mi así que no lo he leído.pero voy a valorar físicamente al libro, es pequeñito como de 15 cm y tiene una letra adecuada, luego las pg de papel no cortan ya que no son rígidas. Lo que molesta un poco sobretodo si lo quieres regalar es que ponga el precio según aparee en la foto (arriba a la derecha) pero bueno se pone una pegatina y solucionado",4
1,"Lo leí hace tiempo y la verdad que me gustó. En su momento era una historia diferente a las que había leído de romántica-erótica. Recomiendo la lectura, ya que se lee de forma amena.",4
1,"Los personajes son de lo más simples: Un chica tímida, que es guapa pero no lo sabe y un ricachón guaperas con un pasado oscuro. El escenario no puede ser más perfecto. Él se enamora de ella, la primera vez que se enamora después de haberse acostado con decenas de chicas... Le hace regalos carísimos, tienen una química increíble. Y pasa lo de siempre, ella es tan perfecta que él cree que no se la merece. Un cuento de hadas moderno, ni siquiera las escenas más eróticas me interesaron demasiado. Si estás acostumbrado a leer y aprecias la literatura, no lo recomiendo.",2
1,"sé que ha sido un boom. pero no puedo evitarlo, a mí me pareció tal bodrio que no pude pasar de las 15 primeras páginas. quizá no llegué a la ""parte interesante""... pero lo poco que leí no me pareció literatura de calidad, sino una literatura de lo más simplona",2
1,"He leído este libro y me ha gustado, para pasar el rato, no es gran literatura, pero me decidí a comprar la trilogía ya que salía mejor de precio. DINERO TIRADO A LA BASURA.",4
1,"Un libro ameno que se lee muy fácilmente. No obstante, la historia deja mucho que desear y los personajes son planos hasta decir basta y muestran un reflejo de la frivolidad y los caprichos del mundo en el que vivimos. Si al menos, esto se hubiera aprovechado para ser una crítica social estaríamos hablando de un libro completamente diferente.",2
1,"desués de ver cómo la gente lo leía por todas partes, cuando estuvo rebajada, me la compré. Es entretenida. No sé a qué viene tanto revuelo. Es casi para adolescenes. Pero se deja leer.",4
1,"Me encanta el lujo descriptivo que te envuelve y te lleva a casa situación haciéndote sentir parte de la historia, sin más.",5
1,El clásico libro Cincuenta Sombras de Grey que toda mujer quiere leerEntretenido y sin pretensiones.Muy fácil de leer,5
1,"Pues eso, que el libro como objeto, está bien, pero como novela no vale mucho.No deja de ser el típico cuento del principe y la chica humilde, adaptado a los tiempos y con algo de sado.",3
